Chevrolet Chevelle Malibu,18.0,8,307.0,130.0,3504.,12.0,70,US
Chevrolet Impala,14.0,8,454.0,220.0,4354.,9.0,70,US
Chevrolet Chevelle Concours (sw),0,8,350.0,165.0,4142.,11.5,70,US
Chevrolet Monte Carlo,15.0,8,400.0,150.0,3761.,9.5,70,US
Chevrolet Vega 2300,28.0,4,140.0,90.00,2264.,15.5,71,US
Chevrolet Chevelle Malibu,17.0,6,250.0,100.0,3329.,15.5,71,US
Chevrolet Impala,14.0,8,350.0,165.0,4209.,12.0,71,US
Chevrolet Vega (sw),22.0,4,140.0,72.00,2408.,19.0,71,US
Chevrolet Vega,20.0,4,140.0,90.00,2408.,19.5,72,US
Chevrolet Impala,13.0,8,350.0,165.0,4274.,12.0,72,US
Chevrolet Chevelle Concours (sw),13.0,8,307.0,130.0,4098.,14.0,72,US
Chevrolet Malibu,13.0,8,350.0,145.0,3988.,13.0,73,US
Chevrolet Caprice Classic,13.0,8,400.0,150.0,4464.,12.0,73,US
Chevrolet Nova Custom,16.0,6,250.0,100.0,3278.,18.0,73,US
Chevrolet Impala,11.0,8,400.0,150.0,4997.,14.0,73,US
Chevrolet Vega,21.0,4,140.0,72.00,2401.,19.5,73,US
Chevrolet Monte Carlo S,15.0,8,350.0,145.0,4082.,13.0,73,US
Chevrolet Nova,15.0,6,250.0,100.0,3336.,17.0,74,US
Chevrolet Vega,25.0,4,140.0,75.00,2542.,17.0,74,US
Chevrolet Chevelle Malibu Classic,16.0,6,250.0,100.0,3781.,17.0,74,US
Chevrolet Nova,18.0,6,250.0,105.0,3459.,16.0,75,US
Chevrolet Bel Air,15.0,8,350.0,145.0,4440.,14.0,75,US
Chevrolete Chevelle Malibu,16.0,6,250.0,105.0,3897.,18.5,75,US
Chevrolet Monza 2+2,20.0,8,262.0,110.0,3221.,13.5,75,US
Chevrolet Chevelle Malibu Classic,17.5,8,305.0,140.0,4215.,13.0,76,US
Chevrolet Nova,22.0,6,250.0,105.0,3353.,14.5,76,US
Chevrolet Chevette,29.0,4,85.00,52.00,2035.,22.2,76,US
Chevrolet Woody,24.5,4,98.00,60.00,2164.,22.1,76,US
Chevrolet C10,13.0,8,350.0,145.0,4055.,12.0,76,US
Chevrolet Caprice Classic,17.5,8,305.0,145.0,3880.,12.5,77,US
Chevrolet Concours,17.5,6,250.0,110.0,3520.,16.4,77,US
Chevrolet Monte Carlo Landau,15.5,8,350.0,170.0,4165.,11.4,77,US
Chevrolet Chevette,30.5,4,98.00,63.00,2051.,17.0,77,US
Chevrolet Malibu,20.5,6,200.0,95.00,3155.,18.2,78,US
Chevrolet Monte Carlo Landau,19.2,8,305.0,145.0,3425.,13.2,78,US
Chevrolet Chevette,30.0,4,98.00,68.00,2155.,16.5,78,US
Chevrolet Caprice Classic,17.0,8,305.0,130.0,3840.,15.4,79,US
Chevrolet Malibu Classic (sw),19.2,8,267.0,125.0,3605.,15.0,79,US
Chevrolet Citation,28.8,6,173.0,115.0,2595.,11.3,79,US
Chevrolet Chevette,32.1,4,98.00,70.00,2120.,15.5,80,US
Chevrolet Citation,28.0,4,151.0,90.00,2678.,16.5,80,US
Chevrolet Citation,23.5,6,173.0,110.0,2725.,12.6,81,US
Chevrolet Cavalier,28.0,4,112.0,88.00,2605.,19.6,82,US
Chevrolet Cavalier Wagon,27.0,4,112.0,88.00,2640.,18.6,82,US
Chevrolet Cavalier 2-door,34.0,4,112.0,88.00,2395.,18.0,82,US
Chevrolet Camaro,27.0,4,151.0,90.00,2950.,17.3,82,US
